PERMNO,date,COMNAM,RET
10087,3/9/1986,BEAUTICONTROL COSMETICS INC,0
10087,4/9/1986,BEAUTICONTROL COSMETICS INC,0.028986
10087,5/9/1986,BEAUTICONTROL COSMETICS INC,0
10087,8/9/1986,BEAUTICONTROL COSMETICS INC,-0.028169
10087,9/9/1986,BEAUTICONTROL COSMETICS INC,0
10087,10/9/1986,BEAUTICONTROL COSMETICS INC,-0.007246
10087,11/9/1986,BEAUTICONTROL COSMETICS INC,-0.007299
10087,12/9/1986,BEAUTICONTROL COSMETICS INC,-0.029412
10087,15-09-1986,BEAUTICONTROL COSMETICS INC,-0.045455
10087,16-09-1986,BEAUTICONTROL COSMETICS INC,0.015873
10087,17-09-1986,BEAUTICONTROL COSMETICS INC,0.03125
10087,18-09-1986,BEAUTICONTROL COSMETICS INC,0
10087,19-09-1986,BEAUTICONTROL COSMETICS INC,0.015152
10087,22-09-1986,BEAUTICONTROL COSMETICS INC,0
10087,23-09-1986,BEAUTICONTROL COSMETICS INC,-0.014925
10087,24-09-1986,BEAUTICONTROL COSMETICS INC,0.015152
10087,25-09-1986,BEAUTICONTROL COSMETICS INC,-0.029851
10087,26-09-1986,BEAUTICONTROL COSMETICS INC,0.015385
10087,29-09-1986,BEAUTICONTROL COSMETICS INC,-0.015152
10087,30-09-1986,BEAUTICONTROL COSMETICS INC,0
10087,1/10/1986,BEAUTICONTROL COSMETICS INC,0
10087,2/10/1986,BEAUTICONTROL COSMETICS INC,-0.030769
10087,3/10/1986,BEAUTICONTROL COSMETICS INC,0.015873
10087,6/10/1986,BEAUTICONTROL COSMETICS INC,-0.03125
10087,7/10/1986,BEAUTICONTROL COSMETICS INC,0
10087,8/10/1986,BEAUTICONTROL COSMETICS INC,-0.032258
10087,9/10/1986,BEAUTICONTROL COSMETICS INC,-0.016667
10087,10/10/1986,BEAUTICONTROL COSMETICS INC,0.016949
10087,13-10-1986,BEAUTICONTROL COSMETICS INC,0
10087,14-10-1986,BEAUTICONTROL COSMETICS INC,-0.016667
10087,15-10-1986,BEAUTICONTROL COSMETICS INC,0.008475
10087,16-10-1986,BEAUTICONTROL COSMETICS INC,0.02521
10087,17-10-1986,BEAUTICONTROL COSMETICS INC,-0.016393
