,permno,Date_Announced
339,82699.0,6/16/2016
340,82832.0,6/23/1999
341,82807.0,8/24/1999
342,83180.0,12/14/1998
343,83161.0,7/30/2007
344,83175.0,2/4/1998
345,83150.0,7/29/2002
346,83164.0,11/4/1999
347,83271.0,10/19/2000
348,83271.0,10/11/1995
349,83347.0,9/4/2013
350,83274.0,10/21/1999
351,83283.0,11/1/2012
352,83304.0,2/1/2006
353,83314.0,5/10/1999
354,83241.0,7/10/2000
355,83374.0,2/9/2016
356,83374.0,3/19/2012
357,83423.0,10/29/1998
358,83367.0,7/8/1997
359,83403.0,8/17/1999
360,83354.0,9/20/1999
361,83429.0,12/29/2008
362,83526.0,10/3/2005
363,83480.0,10/1/1997
364,83524.0,7/8/1988
365,83479.0,4/14/2011
366,83570.0,6/14/1999
367,83581.0,1/10/2005
368,83674.0,9/17/2007
369,83657.0,11/13/2006
370,83681.0,1/6/2003
371,83694.0,3/22/2007
372,83766.0,7/21/1999
373,83761.0,12/16/2002
374,83761.0,10/5/2011
375,83737.0,4/5/2005
376,83789.0,5/11/2006
377,83780.0,6/18/1996
378,83908.0,4/17/2012
379,83908.0,6/29/1999
380,83857.0,5/21/1999
381,83860.0,10/30/2006
382,83963.0,10/9/2002
383,84121.0,5/15/2003
384,84121.0,10/23/2000
385,84069.0,5/11/2009
386,84046.0,9/2/2003
387,84106.0,6/2/1999
388,84132.0,12/30/1988
389,84107.0,8/4/2005
390,84107.0,10/9/1997
391,84142.0,6/2/2008
392,84142.0,9/19/2000
393,84075.0,3/6/2006
394,84220.0,11/1/1999
395,84247.0,6/12/2009
396,84219.0,3/20/2001
397,84248.0,1/29/1998
398,84250.0,10/20/2004
399,84208.0,8/23/2006
400,84342.0,8/9/2016
401,84291.0,7/19/2010
402,84317.0,4/29/2004
403,84406.0,7/7/2006
404,84429.0,5/17/1999
405,84571.0,8/24/2010
406,84600.0,6/11/2001
407,84721.0,10/12/2007
408,84815.0,12/27/1998
409,84836.0,4/20/2004
410,84836.0,9/20/1996
411,84796.0,7/19/2000
412,85210.0,5/13/2014
413,85210.0,12/29/2011
414,85193.0,9/13/2002
415,85159.0,6/2/1999
416,85277.0,1/10/2000
417,85291.0,8/26/2013
418,85306.0,4/14/1989
419,85309.0,5/17/2001
420,85273.0,5/8/1998
421,85396.0,12/8/2004
422,85396.0,2/13/1997
423,85396.0,3/5/2010
424,85393.0,1/5/2003
425,85380.0,6/2/2003
426,85371.0,10/25/2000
427,85385.0,8/3/2011
428,85385.0,2/6/2007
429,85385.0,10/16/2003
430,85385.0,3/7/2000
431,85385.0,3/15/1995
432,85385.0,6/4/1990
433,85389.0,7/29/1999
434,85475.0,6/30/2006
435,85475.0,6/7/1999
436,86441.0,11/2/1998
437,86441.0,6/24/1996
438,85495.0,7/21/2005
439,85495.0,8/3/1998
440,85479.0,5/20/2003
441,85579.0,7/1/2004
442,85524.0,7/7/2006
443,85559.0,7/31/2014
444,85544.0,2/7/2006
445,85676.0,3/11/1997
446,85716.0,9/23/2013
447,85740.0,7/7/2004
448,85729.0,1/22/2006
449,85840.0,6/10/2010
450,85814.0,1/7/2014
451,85814.0,6/4/2012
452,85814.0,6/4/2007
453,85838.0,10/15/2012
454,85822.0,10/31/2007
455,85819.0,12/6/2006
456,85847.0,9/8/2010
457,85847.0,3/17/2002
458,85997.0,8/1/2002
459,85959.0,11/7/2011
460,85971.0,8/1/2011
461,86070.0,11/9/2001
462,86185.0,2/4/2004
463,86200.0,1/30/2004
464,86158.0,11/14/2002
465,86187.0,11/8/2007
466,86180.0,11/5/2012
467,86180.0,5/17/2000
468,86252.0,1/15/2001
469,87131.0,8/6/2012
470,86283.0,7/19/2004
471,86331.0,8/5/2003
472,86331.0,12/5/2002
473,86323.0,6/9/2010
474,86320.0,9/30/2002
475,86360.0,7/12/2013
476,86360.0,4/14/2003
477,86360.0,7/1/1998
478,86514.0,4/3/2003
479,86514.0,2/10/2000
480,86519.0,5/10/1999
481,86496.0,2/7/2011
482,86496.0,6/29/1998
483,86569.0,10/29/2007
484,86727.0,7/15/2004
485,86721.0,6/18/2009
486,86847.0,7/31/2003
487,86927.0,4/30/1999
488,86927.0,7/24/2000
489,86926.0,6/16/2014
490,86922.0,3/24/2008
491,86890.0,5/22/2012
492,87009.0,11/19/2003
493,86983.0,1/19/2007
494,86998.0,3/25/2010
495,86998.0,10/15/2007
496,86998.0,12/13/2002
497,86961.0,8/3/2005
498,87107.0,3/3/2004
499,87082.0,6/28/2005
500,87187.0,1/7/2000
501,87156.0,5/21/2007
502,87241.0,10/27/2009
503,87257.0,5/6/2010
504,87257.0,8/1/2016
505,87357.0,2/19/2007
506,87322.0,6/15/2001
507,87407.0,8/20/2013
508,87407.0,7/6/1998
509,87409.0,2/7/2001
510,87402.0,4/9/2001
511,87480.0,3/26/2003
512,87480.0,6/10/1999
513,87498.0,5/27/2015
514,87516.0,2/29/2000
515,87486.0,2/5/2001
516,87559.0,1/21/2003
517,87635.0,7/10/2001
518,87618.0,6/1/2010
519,87598.0,6/29/2007
520,87597.0,10/20/2010
521,87597.0,1/10/2002
522,87616.0,7/19/2002
523,87623.0,10/24/2005
524,87800.0,1/6/2015
525,87800.0,4/28/2010
526,87777.0,4/23/2012
527,65832.0,8/22/2008
528,49584.0,11/9/1999
529,50032.0,1/20/2006
530,69200.0,6/18/2007
531,52484.0,7/29/2013
532,71538.0,12/23/2011
533,55781.0,12/5/2006
534,70383.0,10/31/1996
535,75328.0,6/16/2008
536,75328.0,3/17/2006
537,75328.0,9/8/1986
538,55108.0,4/19/1999
539,67432.0,11/12/2014
540,67432.0,11/15/2004
541,71685.0,10/21/2010
542,65533.0,6/4/2004
543,38893.0,1/18/2000
544,48637.0,4/1/2002
545,53575.0,11/8/2013
546,75288.0,6/25/2002
547,54543.0,2/14/2000
548,32096.0,7/2/2002
549,32205.0,5/19/1998
550,69489.0,8/26/1996
551,68945.0,9/4/1997
552,42104.0,12/28/1999
553,42104.0,6/17/2003
554,40213.0,5/21/1997
555,55191.0,8/14/2001
556,75179.0,9/9/2013
557,75179.0,5/2/2005
558,75179.0,12/8/1986
559,55036.0,9/12/2002
560,70949.0,8/14/1998
561,70949.0,7/20/1994
562,75359.0,5/5/1997
563,54818.0,7/9/2013
564,67715.0,11/22/2006
565,67715.0,11/25/1998
566,53399.0,10/17/1997
567,75189.0,3/18/1987
568,75189.0,1/28/1986
569,54471.0,10/8/1996
570,42219.0,4/11/2011
571,38578.0,1/30/2012
572,75101.0,6/13/2011
573,47183.0,7/5/2013
574,47183.0,10/17/1997
575,45137.0,3/8/2002
576,51932.0,1/16/2003
577,75602.0,5/12/1997
578,75602.0,1/30/1996
579,75195.0,11/7/1988
580,76219.0,11/21/2011
581,76475.0,2/9/1998
582,78468.0,7/30/2007
583,78468.0,6/26/2006
584,86743.0,5/29/2007
585,84402.0,7/2/2007
586,13250.0,11/11/2015
587,86018.0,7/30/2001
588,80703.0,8/12/2003
589,80701.0,11/21/2001
590,76596.0,12/18/1995
591,76634.0,2/16/1999
592,76634.0,3/11/1997
593,76673.0,2/8/2011
594,77061.0,11/3/2000
595,77546.0,4/2/2007
596,77550.0,4/22/1997
597,77608.0,4/14/2014
598,77608.0,6/20/2007
599,78796.0,3/29/1996
600,78789.0,12/11/1995
601,78948.0,8/19/1992
602,79042.0,12/8/1998
603,79042.0,12/11/1989
604,79437.0,12/19/2005
605,79545.0,10/20/1992
606,79669.0,8/18/1995
607,79779.0,10/6/1995
608,79779.0,4/30/1993
609,79925.0,2/13/1995
610,79925.0,8/4/1994
611,80192.0,12/23/1997
612,80404.0,10/23/2003
613,80425.0,6/2/1998
614,80679.0,2/24/2012
615,80786.0,10/18/2001
616,81028.0,6/21/2010
617,81047.0,4/30/1997
618,81056.0,5/8/2002
619,81060.0,2/4/2005
620,84259.0,11/5/1999
621,84259.0,11/24/1986
622,81131.0,3/9/1998
623,81293.0,8/31/2009
624,81671.0,9/7/1999
625,84027.0,4/26/1999
626,84027.0,4/4/1995
627,82235.0,8/12/2007
628,82236.0,6/14/2005
629,82242.0,7/8/2009
630,82295.0,2/29/2012
631,82295.0,2/20/2007
632,82632.0,6/28/1999
633,82773.0,2/9/1998
634,82773.0,4/24/1995
635,82795.0,10/11/1995
636,82862.0,3/16/1998
637,83232.0,10/9/1998
638,83333.0,5/1/2012
639,83439.0,6/9/1997
640,83459.0,7/3/1998
641,83583.0,10/27/2003
642,83594.0,1/18/2000
643,83594.0,10/13/1995
644,83594.0,6/22/1989
645,83598.0,10/19/2006
646,83598.0,4/15/1998
647,83602.0,11/14/1995
648,83823.0,9/28/1999
649,84018.0,2/28/2000
650,84025.0,10/13/1998
651,84036.0,12/12/2006
652,84036.0,12/14/1999
653,84169.0,12/9/2013
654,84169.0,11/8/2005
655,84361.0,10/10/2002
656,84371.0,4/6/1998
657,84377.0,8/14/2002
658,84377.0,5/10/1999
659,84377.0,4/17/1996
660,84382.0,7/23/2002
661,84391.0,12/11/2001
662,84391.0,10/27/1997
663,84396.0,4/29/2002
664,84573.0,12/2/1998
665,84779.0,3/22/2013
666,84779.0,7/14/2011
667,84779.0,2/21/2009
668,84785.0,11/15/2012
669,85071.0,1/16/2001
670,85071.0,2/13/1992
671,85071.0,1/13/1987
672,85239.0,6/18/2001
673,85343.0,12/14/2001
674,85409.0,1/28/1998
675,85409.0,2/18/1997
676,85429.0,3/18/2002
677,85431.0,1/24/2013
678,85431.0,8/27/2004
679,85431.0,6/11/1997
680,85432.0,10/15/2013
681,85436.0,12/15/1998
682,85603.0,12/27/2005
683,85603.0,10/5/1989
684,85648.0,5/29/1998
685,85648.0,8/12/1997
686,85661.0,11/25/2003
687,85903.0,9/24/2004
688,85931.0,11/17/1997
689,85944.0,8/1/2001
690,85955.0,11/1/1999
691,86010.0,8/27/1998
692,86025.0,5/16/2010
693,86025.0,4/2/2007
694,86025.0,4/7/2005
695,86102.0,3/13/1989
696,86118.0,8/1/1999
697,86118.0,12/17/1997
698,86120.0,11/25/2008
699,86120.0,5/15/2002
700,86133.0,9/28/1999
701,86587.0,1/24/2002
702,86587.0,12/31/1998
703,86602.0,9/21/2009
704,86801.0,9/28/2009
705,86801.0,10/7/2003
706,86801.0,1/26/1999
707,87041.0,5/4/2000
708,87139.0,11/18/2015
709,87140.0,2/17/2011
710,87465.0,11/8/2004
711,88169.0,8/5/2003
712,88232.0,3/26/2003
713,88246.0,3/1/2010
714,88270.0,7/10/2005
715,88287.0,10/4/1999
716,88308.0,10/15/2003
717,88366.0,2/20/2002
718,88430.0,10/17/2006
719,88477.0,2/18/2003
720,88543.0,8/7/2006
721,88543.0,5/31/2000
722,88543.0,10/25/1995
723,88574.0,11/23/2015
724,88588.0,5/15/2002
725,88634.0,2/12/2007
726,88636.0,4/7/2003
727,88651.0,1/7/2005
728,88809.0,4/23/2007
729,89028.0,6/9/2003
730,89177.0,1/13/2004
731,89326.0,12/13/2005
732,89410.0,8/31/2015
733,89410.0,4/1/2011
