permno,Date_Announced
84219.0,2001-03-20
84248.0,1998-01-29
84250.0,2004-10-20
84208.0,2006-08-23
84342.0,2016-08-09
84291.0,2010-07-19
84317.0,2004-04-29
84406.0,2006-07-07
84429.0,1999-05-17
84571.0,2010-08-24
84600.0,2001-06-11
84721.0,2007-10-12
84815.0,1998-12-27
84836.0,2004-04-20
84836.0,1996-09-20
84796.0,2000-07-19
85210.0,2014-05-13
85210.0,2011-12-29
85193.0,2002-09-13
85159.0,1999-06-02
85277.0,2000-01-10
85291.0,2013-08-26
85306.0,1989-04-14
85309.0,2001-05-17
85273.0,1998-05-08
85396.0,2004-12-08
85396.0,1997-02-13
85396.0,2010-03-05
85393.0,2003-01-05
85380.0,2003-06-02
85371.0,2000-10-25
85385.0,2011-08-03
85385.0,2007-02-06
85385.0,2003-10-16
85385.0,2000-03-07
85385.0,1995-03-15
85385.0,1990-06-04
85389.0,1999-07-29
85475.0,2006-06-30
85475.0,1999-06-07
86441.0,1998-11-02
86441.0,1996-06-24
85495.0,2005-07-21
85495.0,1998-08-03
85479.0,2003-05-20
85579.0,2004-07-01
85524.0,2006-07-07
85559.0,2014-07-31
85544.0,2006-02-07
85676.0,1997-03-11
85716.0,2013-09-23
85740.0,2004-07-07
85729.0,2006-01-22
85840.0,2010-06-10
85814.0,2014-01-07
85814.0,2012-06-04
85814.0,2007-06-04
85838.0,2012-10-15
85822.0,2007-10-31
85819.0,2006-12-06
85847.0,2010-09-08
85847.0,2002-03-17
85997.0,2002-08-01
85959.0,2011-11-07
85971.0,2011-08-01
86070.0,2001-11-09
86185.0,2004-02-04
86200.0,2004-01-30
86158.0,2002-11-14
86187.0,2007-11-08
86180.0,2012-11-05
86180.0,2000-05-17
86252.0,2001-01-15
87131.0,2012-08-06
86283.0,2004-07-19
86331.0,2003-08-05
86331.0,2002-12-05
86323.0,2010-06-09
86320.0,2002-09-30
86360.0,2013-07-12
86360.0,2003-04-14
86360.0,1998-07-01
86514.0,2003-04-03
86514.0,2000-02-10
86519.0,1999-05-10
86496.0,2011-02-07
86496.0,1998-06-29
86569.0,2007-10-29
86727.0,2004-07-15
86721.0,2009-06-18
86847.0,2003-07-31
86927.0,1999-04-30
86927.0,2000-07-24
86926.0,2014-06-16
86922.0,2008-03-24
86890.0,2012-05-22
87009.0,2003-11-19
86983.0,2007-01-19
86998.0,2010-03-25
86998.0,2007-10-15
86998.0,2002-12-13
86961.0,2005-08-03
87107.0,2004-03-03
87082.0,2005-06-28
87187.0,2000-01-07
87156.0,2007-05-21
87241.0,2009-10-27
87257.0,2010-05-06
87257.0,2016-08-01
87357.0,2007-02-19
87322.0,2001-06-15
87407.0,2013-08-20
87407.0,1998-07-06
87409.0,2001-02-07
87402.0,2001-04-09
87480.0,2003-03-26
87480.0,1999-06-10
87498.0,2015-05-27
87516.0,2000-02-29
87486.0,2001-02-05
87559.0,2003-01-21
87635.0,2001-07-10
87618.0,2010-06-01
87598.0,2007-06-29
87597.0,2010-10-20
87597.0,2002-01-10
87616.0,2002-07-19
87623.0,2005-10-24
87800.0,2015-01-06
87800.0,2010-04-28
87777.0,2012-04-23
65832.0,2008-08-22
49584.0,1999-11-09
50032.0,2006-01-20
69200.0,2007-06-18
52484.0,2013-07-29
71538.0,2011-12-23
55781.0,2006-12-05
70383.0,1996-10-31
75328.0,2008-06-16
75328.0,2006-03-17
75328.0,1986-09-08
55108.0,1999-04-19
67432.0,2014-11-12
