,numbers,dollars
595,24.0,2.0
596,2.0,2.0
597,0.0,0.0
598,1.0,0.0
599,12.0,4.0
600,,
601,,
602,1.0,0.0
603,0.0,0.0
604,,
605,11.0,4.0
606,0.0,0.0
607,5.0,0.0
608,0.0,0.0
609,0.0,0.0
610,5.0,4.0
611,0.0,0.0
612,4.0,2.0
613,0.0,0.0
614,8.0,4.0
615,2.0,1.0
616,7.0,2.0
617,2.0,0.0
618,5.0,2.0
619,1.0,0.0
620,5.0,2.0
621,1.0,0.0
622,5.0,3.0
623,0.0,0.0
624,5.0,1.0
625,5.0,2.0
626,1.0,0.0
627,4.0,4.0
628,,
629,3.0,0.0
630,,
631,,
632,2.0,1.0
633,2.0,2.0
634,2.0,2.0
635,5.0,2.0
636,5.0,0.0
637,2.0,2.0
638,4.0,2.0
639,0.0,0.0
640,1.0,1.0
641,0.0,0.0
642,2.0,0.0
643,0.0,0.0
644,2.0,0.0
645,2.0,0.0
646,7.0,2.0
647,7.0,2.0
648,,
649,9.0,1.0
650,,
651,,
652,3.0,3.0
653,3.0,2.0
654,6.0,4.0
655,2.0,1.0
656,2.0,2.0
657,8.0,1.0
658,2.0,0.0
659,7.0,5.0
660,5.0,0.0
661,,
662,,
663,5.0,4.0
664,5.0,4.0
665,,
666,,
667,6.0,4.0
668,,
669,2.0,1.0
670,3.0,1.0
671,0.0,0.0
672,,
673,,
674,,
675,,
676,2.0,0.0
677,4.0,0.0
678,3.0,1.0
679,,
680,159.0,15.0
681,0.0,0.0
682,10.0,0.0
683,2.0,0.0
684,,
685,78.0,25.0
686,,
687,18.0,6.0
688,1.0,0.0
689,2.0,1.0
690,0.0,0.0
691,1.0,0.0
692,19.0,1.0
693,0.0,0.0
694,6.0,0.0
695,,
696,60.0,6.0
697,20.0,3.0
698,2.0,1.0
699,10.0,4.0
700,12.0,6.0
701,,
702,18.0,13.0
703,22.0,11.0
704,2.0,1.0
705,3.0,3.0
706,0.0,0.0
707,,
708,3.0,2.0
709,34.0,14.0
710,4.0,0.0
711,4.0,2.0
712,12.0,0.0
713,1.0,1.0
714,0.0,0.0
715,3.0,1.0
716,3.0,1.0
717,4.0,4.0
718,3.0,1.0
719,4.0,3.0
720,,
721,3.0,2.0
722,4.0,0.0
723,,
724,2.0,1.0
725,,
726,2.0,0.0
727,,
728,3.0,0.0
729,0.0,0.0
730,7.0,0.0
731,0.0,0.0
732,0.0,0.0
733,0.0,0.0
734,1.0,0.0
735,2.0,2.0
736,,
737,,
738,8.0,0.0
739,3.0,3.0
740,0.0,0.0
741,6.0,3.0
742,,
743,0.0,0.0
744,1.0,0.0
745,2.0,2.0
746,40.0,3.0
747,33.0,19.0
748,33.0,19.0
749,,
750,0.0,0.0
751,,
752,2.0,0.0
753,1.0,1.0
754,,
755,8.0,2.0
756,0.0,0.0
757,0.0,0.0
758,,
759,1.0,1.0
760,10.0,5.0
761,2.0,0.0
762,2.0,0.0
763,,
764,4.0,3.0
765,,
766,1.0,0.0
767,0.0,0.0
768,,
769,1.0,0.0
770,5.0,4.0
771,3.0,1.0
772,0.0,0.0
773,4.0,1.0
774,7.0,2.0
775,5.0,1.0
776,8.0,2.0
777,7.0,1.0
778,,
779,0.0,0.0
780,4.0,1.0
781,7.0,2.0
782,14.0,8.0
783,16.0,7.0
784,9.0,3.0
785,7.0,3.0
786,1.0,0.0
787,4.0,3.0
788,3.0,1.0
789,13.0,3.0
790,2.0,1.0
791,,
792,10.0,5.0
793,5.0,3.0
794,,
795,8.0,0.0
796,10.0,5.0
797,7.0,5.0
798,0.0,0.0
799,,
800,,
801,1.0,1.0
802,,
803,0.0,0.0
804,,
805,,
806,4.0,1.0
807,2.0,1.0
808,2.0,1.0
809,4.0,0.0
810,,
811,,
812,,
813,9.0,3.0
814,,
815,20.0,13.0
816,,
817,,
818,5.0,3.0
819,2.0,1.0
820,2.0,1.0
821,5.0,2.0
822,,
823,,
824,,
825,3.0,2.0
826,0.0,0.0
827,0.0,0.0
828,,
829,,
830,,
831,0.0,0.0
832,,
833,5.0,3.0
834,,
835,4.0,3.0
836,6.0,2.0
837,8.0,6.0
838,8.0,6.0
839,,
840,,
841,9.0,3.0
842,2.0,1.0
843,8.0,8.0
844,4.0,2.0
845,0.0,0.0
846,7.0,2.0
847,,
848,,
849,4.0,2.0
850,1.0,0.0
851,,
852,12.0,4.0
853,5.0,0.0
854,7.0,4.0
855,,
856,,
857,8.0,0.0
858,1.0,1.0
859,5.0,3.0
860,1.0,0.0
861,0.0,0.0
862,,
863,9.0,2.0
864,48.0,5.0
865,47.0,10.0
866,15.0,9.0
867,0.0,0.0
868,0.0,0.0
869,2.0,1.0
870,0.0,0.0
871,8.0,3.0
872,0.0,0.0
873,4.0,2.0
874,77.0,33.0
875,4.0,2.0
876,2.0,0.0
877,8.0,2.0
878,20.0,3.0
879,9.0,2.0
880,2.0,0.0
881,41.0,6.0
882,1.0,0.0
883,43.0,11.0
884,1.0,0.0
885,1.0,0.0
886,35.0,3.0
887,,
888,,
889,12.0,1.0
890,2.0,0.0
891,31.0,6.0
892,1.0,0.0
893,32.0,5.0
894,5.0,0.0
895,5.0,0.0
896,31.0,6.0
897,31.0,6.0
898,3.0,0.0
899,34.0,11.0
900,18.0,14.0
901,3.0,0.0
902,3.0,0.0
903,32.0,5.0
904,17.0,2.0
905,2.0,0.0
906,23.0,5.0
907,5.0,0.0
908,0.0,0.0
909,4.0,0.0
910,4.0,0.0
911,22.0,0.0
912,6.0,0.0
913,1.0,0.0
914,19.0,1.0
915,4.0,1.0
916,9.0,4.0
917,2.0,0.0
918,12.0,0.0
919,3.0,1.0
920,3.0,0.0
921,32.0,4.0
922,5.0,4.0
923,7.0,3.0
924,5.0,0.0
925,18.0,0.0
926,2.0,0.0
927,31.0,1.0
928,3.0,2.0
929,13.0,1.0
930,7.0,0.0
931,10.0,4.0
932,8.0,1.0
933,3.0,2.0
934,4.0,2.0
935,13.0,0.0
936,3.0,1.0
937,18.0,0.0
938,6.0,1.0
939,13.0,0.0
940,39.0,15.0
941,4.0,4.0
942,,
943,0.0,0.0
944,21.0,1.0
945,8.0,0.0
946,1.0,1.0
947,1.0,0.0
948,2.0,1.0
949,4.0,3.0
950,0.0,0.0
951,2.0,0.0
952,1.0,0.0
953,1.0,0.0
954,3.0,0.0
955,0.0,0.0
956,2.0,0.0
957,2.0,1.0
958,0.0,0.0
959,2.0,0.0
960,2.0,1.0
961,2.0,0.0
962,1.0,0.0
963,2.0,0.0
964,3.0,1.0
965,1.0,1.0
966,2.0,1.0
967,71.0,17.0
968,21.0,3.0
969,2.0,1.0
970,39.0,8.0
971,,
972,0.0,0.0
973,34.0,5.0
974,,
975,31.0,9.0
976,50.0,14.0
977,7.0,4.0
978,4.0,0.0
979,1.0,1.0
980,,
981,23.0,0.0
982,12.0,6.0
983,26.0,10.0
984,1.0,1.0
985,0.0,0.0
986,15.0,8.0
987,,
988,60.0,14.0
989,13.0,6.0
990,,
991,22.0,10.0
992,5.0,0.0
993,,
994,7.0,1.0
995,4.0,1.0
996,6.0,4.0
997,1.0,1.0
998,49.0,15.0
999,7.0,3.0
1000,,
1001,13.0,4.0
1002,44.0,13.0
1003,0.0,0.0
1004,40.0,12.0
1005,,
1006,10.0,1.0
1007,8.0,3.0
1008,,
1009,23.0,8.0
1010,,
1011,2.0,2.0
