PERMNO,date,COMNAM,PERMCO,CAR,Ret
59555,200908,HONDA MOTOR LTD,2172,-0.03430391136788395,-0.02521422360574712
59555,200909,HONDA MOTOR LTD,2172,-0.09730746671406552,-0.030093295057383715
59555,200910,HONDA MOTOR LTD,2172,0.04457348446759394,0.021541310987727765
59555,200911,HONDA MOTOR LTD,2172,-0.01006663457524054,0.0006457914318184541
59555,200912,HONDA MOTOR LTD,2172,0.06300301527887162,0.09305126674385762
59555,201001,HONDA MOTOR LTD,2172,-0.020215436738005275,0.00029495649605549966
59555,201002,HONDA MOTOR LTD,2172,0.04607692620437878,0.020432820839371993
59555,201003,HONDA MOTOR LTD,2172,0.02528038549489058,0.023244735653959837
59555,201004,HONDA MOTOR LTD,2172,-0.03976703748052061,-0.04343477987308523
59555,201005,HONDA MOTOR LTD,2172,-0.08585741405326007,-0.10605186569631127
