"permco","permno1","permno2","permno3","fyear","Target_CUSIP","Target_Name","Acquiror_Name","Status","Acquiror_Primary_Ticker_Symbol","Target_Primary_Ticker_Symbol","Acquiror_Ticker_Symbol","Target_Ticker_Symbol","Acquiror__CUSIP","sdc_Deal_Number","year_acq_ann","month_acq_ann","yearmonth_acq_ann","yearmonth_acq_ann_complete","acq_complete","year_acq_ann_complete","month_acq_ann_complete","price_per_share","Target_Share_Price_4_Weeks_Prior","Target_Share_Price_1_Week_Prior","Target_Share_Price_1_Day_Prior","percentage_Shares_acq","perc_owned_after_transaction","percentage_shares_sought","Date_Announced","Date_Effective","Date_Withdrawn"
5799,79119,,,1983,"911910","US Healthcare Inc","Aetna Life & Casualty Co","Completed","AET.C","USHC","AET.C","USHC","008140",546083020,1996,4,23956,23956,1,1996,4,57,48,47,45.875,100,100,100,4/1/1996,7/19/1996,
5814,12424,80778,,1983,"023650","America West Airlines Inc","AmWest Partners","Completed",,,,,"03235X",392334020,1994,2,23930,23930,1,1994,2,,,,,72.9,72.9,72.9,2/18/1994,8/11/1994,
5872,11983,,,1983,"090597","Biogen Inc","IDEC Pharmaceuticals Corp","Completed","IDPH","BGEN","IDPH","BGEN","449370",1406648020,2003,6,24042,24042,1,2003,6,44.85,40.5,46.25,43.25,100,100,100,6/20/2003,11/12/2003,
5921,43167,,,1983,"449180","Hytek Microsystems Inc","Natel Engineering Co Inc","Completed",,"HTEK",,"HTEK","63229A",1639088020,2005,2,24062,24062,1,2005,2,2,1.02,0.81,0.86,100,100,100,2/14/2005,6/1/2005,
5977,17671,11510,,1983,"082047","Benihana Inc","Angelo Gordon & Co","Completed",,"BNHNA",,"BNHNA~BNHN","62520N",2417517020,2012,5,24149,24149,1,2012,5,16.3,13.8,13.95,14.18,100,100,100,5/22/2012,8/21/2012,
5992,16193,,,1983,"055467","BI Inc","Investor Group","Completed",,"BIAC",,"BIAC","46145M",1036482020,2000,8,24008,24008,1,2000,8,8.25,5,4,4.625,100,100,100,8/11/2000,10/6/2000,
5992,16193,,,1983,"055467","BI Inc","Quad-C Management Inc","Completed",,,,,"74803R",1741931020,2006,2,24074,24074,1,2006,2,,,,,,,100,2/28/2006,2/28/2006,
6041,82502,,,1983,"959880","Western Waste Industries Inc","USA Waste Services Inc","Completed","UW","WWIN","UW","WWIN","902917",525066020,1995,12,23952,23952,1,1995,12,28.31,19.25,23.25,24.375,100,100,100,12/19/1995,5/7/1996,
6051,65306,,,1983,"904708","UniFirst Corp","UniFirst Corp","Completed","UNF","UNF","UNF","UNF","904708",320578020,1993,2,23918,23918,1,1993,2,,26.625,28,29,100,100,100,2/4/1993,4/4/1993,
6234,78992,,,1983,"025012","American Capital Holdings Corp","USA SportsNet Co","Completed",,"ACPH",,"ACPH","90409Q",1467527020,2003,12,24048,24048,1,2003,12,,0,0,0,100,100,100,12/22/2003,1/15/2004,
6301,66413,,,1983,"001669","AMC Entertainment Inc","Marquee Holdings Inc","Completed",,"AMCI",,"AMCI~AEN","57158C",1588899020,2004,7,24055,24055,1,2004,7,19.5,15.81,14.35,17.16,100,100,100,7/22/2004,12/23/2004,
6346,34818,,,1983,"806373","Schawk Inc","Matthews International Corp","Completed","MATW","SGK","MATW","SGK","577128",2619000020,2014,3,24171,24171,1,2014,3,20,12.63,14.98,14.73,93.6,93.6,100,3/17/2014,7/29/2014,
6362,20571,,,1984,"127587","Cadmus Communications Corp","Cenveo Inc","Completed","CVO","CDMS","CVO","CDMS","15670S",1825404020,2006,12,24084,24084,1,2006,12,24.75,17.42,20,20.98,100,100,100,12/27/2006,3/7/2007,
6499,68006,,,1984,"783180","Rusty Pelican Restaurants Inc","Paragon Restaurant Group Inc","Completed",,"RSTY",,"RSTY","69912Q",22102020,1987,9,23853,23853,1,1987,9,9,8.5,8.625,8.625,100,100,100,9/22/1987,11/23/1987,
6512,31318,78031,,1983,"269305","E-Z-EM Inc","Bracco Diagnostics Inc","Completed",,"EZM",,"EZM","10327Y",1919636020,2007,10,24094,24094,1,2007,10,21,16.99,15.76,16.42,100,100,100,10/30/2007,4/1/2008,
6544,74070,,,1984,"871835","System Integrators Inc","net-linx AG","Completed",,,,,"64152L",1015645020,2000,6,24006,24006,1,2000,6,,,,,100,100,100,6/14/2000,6/14/2000,
6544,74070,,,1984,"871835","System Integrators Inc","SI Acquisitions Inc","Completed",,"SINT",,"SINT","78424V",103764020,1988,9,23865,23865,1,1988,9,10,5.5,5.75,6,100,100,100,9/20/1988,2/6/1989,
6588,61672,,,1983,"704674","Peak Health Care Inc","United HealthCare Corp","Completed","UNIH","PHCI","UNIH","PHCI","910581",19259020,1986,6,23838,23838,1,1986,6,16,12.625,11.625,11.75,100,100,100,6/20/1986,11/11/1986,
6588,61672,,,1983,"704674","Peak Health Care Inc","Lincoln Natl Administrative","Completed",,,,,"53404Q",111473020,1988,11,23867,23867,1,1988,11,,,,,100,100,100,11/30/1988,11/30/1988,
6599,82326,,,1983,"80533W","Savoir Technology Group Inv","Avnet Inc","Completed","AVT","SVTG","AVT","SVTG","053807",982729020,2000,3,24003,24003,1,2000,3,7.85,6.953,7.75,8.25,100,100,100,3/2/2000,7/3/2000,
6604,73614,,,1984,"867910","Sunrise Medical Inc","Investor Group","Completed",,"SMD",,"SMD","46145M",1057097020,2000,10,24010,24010,1,2000,10,10,0,0,0,100,100,100,10/17/2000,12/13/2000,
6646,61138,,,1984,"69888P","Par Pharmaceutical Cos Inc","TPG Capital LP","Completed",,"PRX",,"PRX","88262A",1906508020,2012,7,24151,24151,1,2012,7,50,22.91,20.16,19.34,100,100,100,7/16/2012,9/28/2012,
6663,28207,78220,,1984,"233202","DEP Corp","Henkel AG & Co KGaA","Completed","HEN","DEPC","HEN~HEN~HEN~HEN~HEN~HEN","DEPC","42550Z",774144020,1998,7,23983,23983,1,1998,7,5.25,2.938,2.688,4,100,100,100,7/14/1998,9/18/1998,
6691,39670,,,1983,"388678","Graphic Industries Inc","Wallace Computer Services Inc","Completed",,"GII",,"GII","932270",699205020,1997,9,23973,23973,1,1997,9,21.75,16.125,18.25,20,100,100,100,9/29/1997,12/22/1997,
6716,11974,,,1984,"019901","Ally & Gargano Inc","Marketing Corp of America","Completed",,"AGAI",,"AGAI","57059Z",22711020,1986,4,23836,23836,1,1986,4,12,9,9,9.25,100,100,100,4/9/1986,9/25/1986,
6716,11974,,,1984,"019901","Ally & Gargano Inc","Wesray Capital Corp","Completed",,,,,"95106Z",108700020,1988,11,23867,23867,1,1988,11,,,,,50,50,50,11/23/1988,11/23/1988,
6861,74975,,,1984,"878904","Telco Systems Inc","World Access Inc","Completed","WAXS",,"WAXS",,"98141A",763628020,1998,6,23982,23982,1,1998,6,17,10.375,10.25,9.563,100,100,100,6/4/1998,11/30/1998,
6861,74975,,,1984,"878904","Telco Systems Inc","BATM Advanced Commun Ltd","Completed","BVC",,"BVC",,"05587K",973708020,2000,2,24002,24002,1,2000,2,,,,,100,100,100,2/3/2000,4/10/2000,
6999,82668,,,1984,"25247X","Dial Global Inc","Cumulus Media Inc","Completed","CMLS","DIAL","CMLS~CMLSW","DIAL","231082",2562335020,2013,8,24164,24164,1,2013,8,,0.28,0.28,0.36,100,100,100,8/30/2013,12/12/2013,
7069,12395,,,1984,"767147","Rio Hotel & Casino Inc","Harrah's Entertainment Inc","Completed","HET","RHC","HET","RHC","413619",782743020,1998,8,23984,23984,1,1998,8,20.13,17.688,17.563,18.875,100,100,100,8/10/1998,1/4/1999,
7184,56630,76787,,1984,"629360","NPC International Inc","Olympus Partners LP","Completed",,,,,"68162L",2347604020,2012,1,24145,24145,1,2012,1,,,,,100,100,100,1/2/2012,1/2/2012,
7305,92217,,,1985,"871512","Symbolics Inc","Investor Group","Completed",,"SMBX",,"SMBX","46145M",483881020,1995,7,23947,23947,1,1995,7,,0.03,0.03,0.04,100,100,100,7/31/1995,7/31/1995,
7446,90908,,,1984,"702853","Pasta & Cheese Inc","Carnation Co","Completed",,"PANC",,"PANC","143483",22884020,1986,11,23843,23843,1,1986,11,16.5,11.5,11.5,12.625,100,100,100,11/10/1986,12/30/1986,
7450,91679,,,1985,"794690","Salick Health Care Inc","ZENECA Group PLC","Completed","ZEN","SHCI","ZEN","SHCI","98934D",441764020,1994,12,23940,23940,1,1994,12,37.75,22.25,27.5,29.25,50,50,50,12/22/1994,4/13/1995,
7525,90740,90721,,1985,"688222","Oshkosh B Gosh Inc","Carter's Inc","Completed","CRI","GOSHA","CRI","GOSHA","146229",1663599020,2005,5,24065,24065,1,2005,5,26,31.54,24.79,29.37,100,100,100,5/10/2005,7/14/2005,
7662,91380,,,1985,"758110","Reebok International Ltd","adidas-Salomon AG","Completed","ADS","RBK","ADS","RBK","00688M",1683721020,2005,8,24068,24068,1,2005,8,59,42.43,42.77,42.76,100,100,100,8/2/2005,1/31/2006,
